RES,-0.032,1.037,0.183,Train,311
MOV,-0.215,0.514,0.784,Train,312
RUS,-0.016,1.014,0.173,Train,313
RES,-0.058,0.993,0.233,Train,314
MOV,0.047,1.354,0.354,Train,315
RUS,-0.033,1.008,0.158,Train,316
RUS,-0.028,1.038,0.161,Train,317
MOV,-0.290,0.281,0.964,Train,318
MOV,-0.089,0.587,0.776,Train,319
RUS,-0.073,1.039,0.076,Train,320
ETC,-0.018,-0.511,0.784,Train,321
MOV,-0.021,0.666,0.706,Train,322
ETC,0.012,0.844,0.582,Train,323
RUS,0.000,1.037,0.157,Train,324
GRZ,0.445,0.982,-0.019,Train,325
MOV,-0.103,-0.293,0.531,Train,326
ETC,0.284,0.427,0.864,Train,327
GRZ,0.089,0.732,0.694,Train,328
RES,-0.120,0.826,0.599,Train,329
RES,0.039,1.046,0.107,Train,330
ETC,0.285,0.269,0.791,Train,331
RES,-0.286,0.253,0.892,Train,332
RUS,-0.044,1.033,0.156,Train,333
RUS,0.019,0.954,0.155,Train,334
RUS,0.090,0.532,0.823,Train,335
MOV,-0.076,0.824,0.617,Train,336
ETC,0.446,0.468,0.769,Train,337
MOV,0.021,0.987,0.593,Train,338
MOV,0.449,0.921,0.039,Train,339
ETC,0.108,0.055,0.991,Train,340
RES,-0.252,0.691,0.703,Train,341
GRZ,0.036,0.658,0.795,Train,342
GRZ,0.224,0.550,0.698,Train,343
MOV,-0.111,0.682,0.654,Train,344
GRZ,0.309,1.008,-0.011,Train,345
ETC,0.330,0.666,0.698,Train,346
GRZ,0.051,0.672,0.687,Train,347
MOV,-0.031,0.849,0.427,Train,348
RES,-0.257,0.731,0.669,Train,349
ETC,0.518,0.697,0.593,Train,350
RES,-0.125,1.004,0.165,Train,351
RES,-0.374,0.626,0.703,Train,352
ETC,0.225,0.186,0.940,Train,353
GRZ,0.221,0.377,0.892,Train,354
RES,-0.091,0.972,0.324,Train,355
RUS,0.034,0.546,0.813,Train,356
ETC,0.358,0.301,0.861,Train,357
RES,-0.104,1.034,0.196,Train,358
GRZ,0.605,0.952,0.036,Train,359
GRZ,0.090,0.442,0.839,Train,360
GRZ,0.298,0.492,0.838,Train,361
RUS,-0.081,1.032,0.184,Train,362
GRZ,0.662,0.592,0.684,Train,363
RUS,-0.025,1.023,0.159,Train,364
GRZ,0.214,0.747,0.810,Train,365
MOV,-0.224,1.081,0.192,Train,366
RES,-0.264,0.370,0.872,Train,367
ETC,0.417,0.383,0.871,Train,368
RUS,-0.026,1.038,0.042,Train,369
MOV,-0.053,0.913,0.643,Train,370
ETC,0.562,0.453,0.858,Train,371
ETC,-0.088,1.034,0.190,Train,372
MOV,0.000,0.830,0.247,Train,373
RUS,-0.007,1.051,0.030,Train,374
RUS,-0.031,1.057,0.066,Train,375
RES,-0.158,0.684,0.733,Train,376
